Date,Open,High,Low,Close,Adj Close,Volume
2000-05-10,6.705691,20.123577,6.569105,6.569105,3.197259,667353
2000-05-11,6.569105,19.713821,6.504065,6.504065,3.165603,162067
2000-05-12,6.777235,20.325203,6.569105,6.569105,3.197259,164918
2000-05-15,6.569105,19.713821,6.439024,6.439024,3.133947,64381
2000-05-16,6.569105,19.713821,6.569105,6.569105,3.197259,29377
2000-05-17,6.777235,20.325203,6.504065,6.504065,3.165603,76412
2000-05-18,6.439024,19.310570,6.165853,6.165853,3.000992,115965
2000-05-19,6.439024,19.310570,6.165853,6.165853,3.000992,0
2000-05-22,6.100813,18.295935,5.964227,5.964227,2.902858,86787
2000-05-23,6.100813,18.295935,5.964227,5.964227,2.902858,86787
2000-05-24,6.100813,18.295935,5.964227,5.964227,2.902858,0
2000-05-25,6.100813,18.295935,5.964227,5.964227,2.902858,0
2000-05-26,5.756097,17.274796,5.554471,5.554471,2.703425,144193
2000-05-29,5.756097,17.274796,5.554471,5.554471,2.703425,0
2000-05-30,5.756097,17.274796,5.554471,5.554471,2.703425,0
2000-05-31,5.756097,17.274796,5.554471,5.554471,2.703425,0
2000-06-01,5.756097,17.274796,5.554471,5.554471,2.703425,0
2000-06-02,5.756097,17.274796,5.417886,5.417886,2.636948,209349
2000-06-05,5.756097,17.274796,5.417886,5.417886,2.636948,0
2000-06-06,5.756097,17.274796,5.756097,5.756097,2.801558,198539
2000-06-07,5.756097,17.274796,5.756097,5.756097,2.801558,0
2000-06-08,5.756097,17.274796,5.756097,5.756097,2.801558,0
2000-06-09,4.403252,13.209756,4.403252,4.403252,2.143113,194643
2000-06-12,4.266666,12.806504,4.201626,4.201626,2.044980,36353
2000-06-13,4.338211,13.008130,4.266666,4.266666,2.076635,175162
2000-06-14,4.403252,13.209756,4.266666,4.266666,2.076635,495079
2000-06-15,4.266666,12.806504,4.065040,4.065040,1.978502,131277
2000-06-16,4.000000,11.993495,3.791869,3.791869,1.845546,97624
2000-06-19,3.928455,11.791869,3.863414,3.863414,1.880368,82347
2000-06-20,4.000000,11.993495,3.928455,3.928455,1.912025,104863
2000-06-21,4.266666,12.806504,4.201626,4.201626,2.044980,86948
2000-06-22,4.403252,13.209756,4.338211,4.338211,2.111457,144878
2000-06-23,4.474796,13.417886,4.201626,4.201626,2.044980,98786
2000-06-26,4.201626,12.604878,4.130081,4.130081,2.010158,28162
2000-06-27,4.201626,12.604878,4.130081,4.130081,2.010158,68357
2000-06-28,4.266666,12.806504,4.201626,4.201626,2.044980,13559
2000-06-29,4.338211,13.008130,4.338211,4.338211,2.111457,7237
2000-06-30,4.201626,12.604878,4.130081,4.130081,2.010158,18712
2000-07-03,4.266666,12.806504,4.130081,4.130081,2.010158,44027
2000-07-04,4.130081,12.396747,4.065040,4.065040,1.978502,61099
2000-07-05,4.201626,12.604878,4.201626,4.201626,2.044980,27076
2000-07-06,4.474796,13.417886,4.266666,4.266666,2.076635,166273
2000-07-07,4.130081,12.396747,4.130081,4.130081,2.010158,145604
2000-07-10,4.266666,12.806504,4.130081,4.130081,2.010158,99389
2000-07-11,4.266666,12.806504,4.065040,4.065040,1.978502,104265
2000-07-12,4.065040,12.195121,3.928455,3.928455,1.912025,58813
2000-07-13,4.000000,11.993495,3.863414,3.863414,1.880368,35674
2000-07-14,3.726829,11.180487,3.661788,3.661788,1.782235,59405
2000-07-17,3.726829,11.180487,3.388617,3.388617,1.649279,190653
2000-07-18,3.388617,10.165853,3.115447,3.115447,1.516324,387382
2000-07-19,3.388617,10.165853,3.115447,3.115447,1.516324,387382
2000-07-20,3.525203,10.569105,3.486178,3.486178,1.696763,442857
2000-07-21,3.525203,10.569105,3.252032,3.252032,1.582801,767844
2000-07-24,3.317073,9.957723,3.284552,3.284552,1.598629,1030532
2000-07-25,3.356097,10.061788,3.284552,3.284552,1.598629,440832
2000-07-26,3.317073,9.957723,3.284552,3.284552,1.598629,971317
2000-07-27,3.284552,9.860162,3.186991,3.186991,1.551145,359923
2000-07-28,3.186991,9.554471,3.147967,3.147967,1.532152,237715
2000-07-31,3.186991,9.554471,3.115447,3.115447,1.516324,154901
2000-08-01,3.186991,9.554471,3.115447,3.115447,1.516324,0
2000-08-02,3.388617,10.165853,3.317073,3.317073,1.614457,434700
2000-08-03,3.317073,9.957723,3.284552,3.284552,1.598629,177440
2000-08-04,3.317073,9.957723,3.252032,3.252032,1.582801,186048
2000-08-07,3.317073,9.957723,3.186991,3.186991,1.551145,63765
2000-08-08,3.147967,9.450406,3.115447,3.115447,1.516324,180697
2000-08-09,3.115447,9.352845,3.050406,3.050406,1.484668,166860
2000-08-10,3.017886,9.047154,2.946341,2.946341,1.434018,121075
2000-08-11,3.017886,9.047154,2.946341,2.946341,1.434018,0
2000-08-14,3.017886,9.047154,2.978861,2.978861,1.449846,269240
2000-08-15,3.082926,9.248780,2.978861,2.978861,1.449846,474868
2000-08-16,2.978861,8.943089,2.913821,2.913821,1.418190,63351
2000-08-17,3.017886,9.047154,2.913821,2.913821,1.418190,146817
2000-08-18,2.978861,8.943089,2.978861,2.978861,1.449846,1623212
2000-08-21,2.978861,8.943089,2.913821,2.913821,1.418190,81774
2000-08-22,2.881300,8.637398,2.777235,2.777235,1.351712,472827
2000-08-23,2.881300,8.637398,2.777235,2.777235,1.351712,0
2000-08-24,2.946341,8.839024,2.913821,2.913821,1.418190,199843
2000-08-25,2.881300,8.637398,2.848780,2.848780,1.386534,211499
2000-08-28,2.848780,8.539837,2.777235,2.777235,1.351712,132585
2000-08-29,2.848780,8.539837,2.777235,2.777235,1.351712,0
2000-08-30,2.848780,8.539837,2.777235,2.777235,1.351712,0
2000-08-31,2.881300,8.637398,2.809756,2.809756,1.367541,475655
2000-09-01,2.848780,8.539837,2.777235,2.777235,1.351712,55632
2000-09-04,2.809756,8.435772,2.809756,2.809756,1.367541,265619
2000-09-05,2.848780,8.539837,2.809756,2.809756,1.367541,115600
2000-09-06,2.848780,8.539837,2.809756,2.809756,1.367541,20888
2000-09-07,2.777235,8.331707,2.712195,2.712195,1.320056,312690
2000-09-08,2.575609,7.726829,2.543089,2.543089,1.237751,214193
2000-09-11,2.504065,7.518699,2.406504,2.406504,1.171273,102857
2000-09-12,2.334959,7.011382,2.133333,2.133333,1.038317,230373
2000-09-13,2.302439,6.913821,2.269918,2.269918,1.104795,627262
2000-09-14,2.237398,6.705691,2.204878,2.204878,1.073139,119064
2000-09-15,2.237398,6.705691,2.204878,2.204878,1.073139,40777
2000-09-18,2.237398,6.705691,2.204878,2.204878,1.073139,0
2000-09-19,2.237398,6.705691,2.204878,2.204878,1.073139,0
2000-09-20,2.100813,6.302439,2.100813,2.100813,1.022490,380196
2000-09-21,2.100813,6.302439,2.100813,2.100813,1.022490,0
2000-09-22,2.100813,6.302439,2.100813,2.100813,1.022490,0
2000-09-25,2.100813,6.302439,2.100813,2.100813,1.022490,0
